request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_54,6458.84,not_affordable,not_recommended,none,,none,"Do not make this payment by 21 August 2026. None of the available options keeps the ZAR 37,000 minimum protected. Balance today is ZAR 53,581.40; even without this payment the lowest projected balance is ZAR 43,458.84 on 11 July 2026."
request_55,121186.75,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-07-15,none,"Use 3 installments of INR 75,781.33, starting 11 June 2026. This leaves at least INR 124,300 available. Balance today is INR 314,341.19; the lowest projected balance is INR 148,568.83 on 14 August 2026."
request_56,777.10,affordable_with_plan,partial_payment,2025-02-03:777.10|2025-02-15:104.46,2025-02-15,none,"Pay USD 777.10 today and the remaining USD 104.46 on 15 February 2025. This completes the full request and keeps the USD 2,100 minimum protected. Balance today is USD 3,432.36; the lowest projected balance is USD 2,100 on 13 February 2025."
request_57,12532.53,affordable_later,wait,2026-06-15:61446,2026-06-15,none,"Pay ZAR 61,446 in full on 15 June 2026. Paying earlier would take the balance below the ZAR 42,700 minimum. At most ZAR 12,532.53 is safe to pay today from a balance of ZAR 63,914.60."
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,"Pay IDR 16,226,000 today. This leaves at least IDR 14,433,900 available over the next 90 days. Balance today is IDR 42,146,065; the lowest projected balance is IDR 21,284,439.65 on 14 December 2024."
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,"Use 3 installments of INR 48,741.33, starting 7 May 2025. This leaves at least INR 132,600 available. Balance today is INR 723,245.99; the lowest projected balance is INR 183,153.28 on 2 August 2025."
request_60,158.76,affordable_later,wait,2026-01-15:199.89,2026-01-15,none,Pay USD 199.89 in full on 15 January 2026. Paying earlier would take the balance below the USD 400 minimum. At most USD 158.76 is safe to pay today from a balance of USD 683.69.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,"Use 3 installments of ZAR 10,074.83, starting 17 March 2024. This leaves at least ZAR 36,700 available. Balance today is ZAR 147,470.23; the lowest projected balance is ZAR 62,323.17 on 18 May 2024."
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,"Pay USD 404.23 today. This leaves at least USD 1,300 available over the next 90 days. Balance today is USD 5,151.44; the lowest projected balance is USD 1,442.50 on 3 November 2025."
request_63,53752.10,not_affordable,not_recommended,none,,none,"Do not proceed with the INR 343,900 request. Although INR 53,752.10 is available today, the full amount cannot be completed safely within 90 days. Balance today is INR 251,795; even without this payment the lowest projected balance is INR 207,252.10 on 14 July 2026."
request_64,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 August 2024. None of the available options keeps the INR 36,100 minimum protected. Balance today is INR 98,573.01; even without this payment the lowest projected balance is INR 2,207.10 on 14 June 2024."
request_65,7114.42,not_affordable,not_recommended,none,2026-01-15,none,"Do not proceed with the ZAR 54,340 request. Although ZAR 7,114.42 is available today, the full amount cannot be completed safely within 90 days. Balance today is ZAR 28,524; even without this payment the lowest projected balance is ZAR 22,614.42 on 14 November 2025."
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,"Pay INR 22,200 today. This leaves at least INR 80,700 available over the next 90 days. Balance today is INR 302,520; the lowest projected balance is INR 118,617.39 on 2 July 2026."
request_67,453.42,affordable_later,wait,2024-11-15:2094,2024-11-15,none,"Pay USD 2,094 in full on 15 November 2024. Paying earlier would take the balance below the USD 1,200 minimum. At most USD 453.42 is safe to pay today from a balance of USD 1,992.54."
request_68,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the USD 1,500 minimum protected. Balance today is USD 3,657.83; even without this payment the lowest projected balance is USD -2,120.21 on 8 May 2025."
request_69,529.10,affordable_now,full_payment,2026-01-04:529.10,2026-01-04,none,"Pay EUR 529.10 today. This leaves at least EUR 700 available over the next 90 days. Balance today is EUR 1,639.50; the lowest projected balance is EUR 721.61 on 14 January 2026."
request_70,59952.21,affordable_later,wait,2025-01-15:243900,2025-01-15,none,"Pay INR 243,900 in full on 15 January 2025. Paying earlier would take the balance below the INR 115,000 minimum. At most INR 59,952.21 is safe to pay today from a balance of INR 208,360."
request_71,1582208.67,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 May 2025. None of the available options keeps the IDR 8,884,800 minimum protected. Balance today is IDR 16,369,850; even without this payment the lowest projected balance is IDR 10,467,008.68 on 14 May 2025."
request_72,11330,affordable_now,full_payment,2026-07-05:11330,2026-07-05,none,"Pay ZAR 11,330 today. This leaves at least ZAR 12,200 available over the next 90 days. Balance today is ZAR 30,337.13; the lowest projected balance is ZAR 13,510.52 on 14 July 2026."
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,"Pay INR 71,400 today. This leaves at least INR 103,200 available over the next 90 days. Balance today is INR 278,542.50; the lowest projected balance is INR 106,395.90 on 14 February 2023."
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,"Pay ZAR 5,010 today. This leaves at least ZAR 21,900 available over the next 90 days. Balance today is ZAR 70,056.90; the lowest projected balance is ZAR 30,892.91 on 2 November 2025."
request_75,26248.45,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,,reduce_to:event_6960:479.60|reduce_to:event_6961:419.76,"Reduce the family streaming plan to ZAR 479.60 and reduce the online retail purchases to ZAR 419.76, then use 3 installments of ZAR 9,800.27, starting 9 April 2026. This leaves at least ZAR 39,000 available. Balance today is ZAR 145,867.87; the lowest projected balance is ZAR 39,370.04 on 5 July 2026."
request_76,809.21,not_affordable,not_recommended,none,2024-08-15,none,"Do not make this payment by 30 July 2024. None of the available options keeps the USD 1,800 minimum protected. Balance today is USD 3,338.80; even without this payment the lowest projected balance is USD 2,609.22 on 14 June 2024."
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,"Pay INR 60,700 today. This leaves at least INR 82,200 available over the next 90 days. Balance today is INR 189,860.50; the lowest projected balance is INR 82,490.57 on 14 November 2025."
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,"Pay INR 50,200 today. This leaves at least INR 55,200 available over the next 90 days. Balance today is INR 156,676; the lowest projected balance is INR 58,944.90 on 14 October 2025."
request_79,405.97,not_affordable,not_recommended,none,2024-11-15,none,"Do not proceed with the EUR 2,151.60 request. Although EUR 405.97 is available today, the full amount cannot be completed safely within 90 days. Balance today is EUR 2,104.08; even without this payment the lowest projected balance is EUR 1,405.98 on 14 September 2024."
request_80,117645.62,not_affordable,not_recommended,none,2025-04-15,none,"Do not make this payment by 21 February 2025. None of the available options keeps the INR 121,300 minimum protected. Balance today is INR 280,125; even without this payment the lowest projected balance is INR 238,945.62 on 14 February 2025."
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,"Pay USD 2,076 today. This leaves at least USD 1,600 available over the next 90 days. Balance today is USD 5,028.25; the lowest projected balance is USD 1,668.05 on 14 July 2026."
request_82,379.37,affordable_later,wait,2025-02-15:1405.20,2025-02-15,none,"Pay USD 1,405.20 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,100 minimum. At most USD 379.37 is safe to pay today from a balance of USD 2,202.40."
request_83,9740.32,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 June 2025. None of the available options keeps the INR 37,800 minimum protected. Balance today is INR 68,930; even without this payment the lowest projected balance is INR 47,540.32 on 14 May 2025."
request_84,30058.72,affordable_later,wait,2026-05-15:95400,2026-05-15,none,"Pay INR 95,400 in full on 15 May 2026. Paying earlier would take the balance below the INR 91,300 minimum. At most INR 30,058.72 is safe to pay today from a balance of INR 153,945."
request_85,616727.51,not_affordable,not_recommended,none,,none,"Do not make this payment by 26 April 2024. None of the available options keeps the IDR 6,396,300 minimum protected. Balance today is IDR 8,818,420; even without this payment the lowest projected balance is IDR 7,013,027.51 on 14 March 2024."
request_86,46300,affordable_now,full_payment,2025-08-03:46300,2025-08-03,none,"Pay INR 46,300 today. This leaves at least INR 84,900 available over the next 90 days. Balance today is INR 228,639.50; the lowest projected balance is INR 86,407.13 on 22 August 2025."
request_87,39399.58,not_affordable,not_recommended,none,,none,"Do not make this payment by 15 March 2026. None of the available options keeps the INR 185,900 minimum protected. Balance today is INR 278,750; even without this payment the lowest projected balance is INR 225,299.59 on 14 January 2026."
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,"Use 3 installments of ZAR 9,045.23, starting 14 June 2024. This leaves at least ZAR 25,800 available. Balance today is ZAR 41,357.89; the lowest projected balance is ZAR 28,714.56 on 14 June 2024."
request_89,9136363.08,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-12-15,reduce_to:event_8337:266760,"Reduce the monthly shopping spend to IDR 266,760, then use 3 installments of IDR 4,768,746.67, starting 18 November 2025. This leaves at least IDR 12,534,700 available. Balance today is IDR 27,331,862.01; the lowest projected balance is IDR 13,490,881.68 on 14 January 2026."
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,"Pay ZAR 2,560 today. This leaves at least ZAR 7,600 available over the next 90 days. Balance today is ZAR 31,629.50; the lowest projected balance is ZAR 9,167.61 on 4 October 2026."
request_91,464,affordable_later,wait,2024-11-15:1927.20,2024-11-15,none,"Pay EUR 1,927.20 in full on 15 November 2024. Paying earlier would take the balance below the EUR 2,100 minimum. At most EUR 464 is safe to pay today from a balance of EUR 4,209.60."
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,"Pay ZAR 34,034 today. This leaves at least ZAR 28,100 available over the next 90 days. Balance today is ZAR 78,664.47; the lowest projected balance is ZAR 32,914.05 on 13 February 2025."
request_93,1729.20,affordable_now,full_payment,2026-04-07:1729.20,2026-04-07,none,"Pay USD 1,729.20 today. This leaves at least USD 1,900 available over the next 90 days. Balance today is USD 3,962.10; the lowest projected balance is USD 2,007.21 on 14 April 2026."
request_94,403.99,not_affordable,not_recommended,none,,none,"Do not make this payment by 22 December 2024. None of the available options keeps the EUR 600 minimum protected. Balance today is EUR 2,663.60; even without this payment the lowest projected balance is EUR 1,003.99 on 4 March 2025."
request_95,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 14 July 2025. None of the available options keeps the INR 145,500 minimum protected. Balance today is INR 283,365; even without this payment the lowest projected balance is INR -310,234.83 on 4 August 2025."
request_96,78451.71,affordable_with_plan,installments,2026-01-10:31269.33|2026-02-09:31269.33|2026-03-11:31269.33,2026-01-15,none,"Use 3 installments of INR 31,269.33, starting 10 January 2026. This leaves at least INR 56,500 available. Balance today is INR 161,635.49; the lowest projected balance is INR 86,564.35 on 14 March 2026."
request_97,2929.44,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-04-15,none,"Use 3 installments of ZAR 8,145.28, starting 19 March 2024. This leaves at least ZAR 29,700 available. Balance today is ZAR 38,565.89; the lowest projected balance is ZAR 32,629.44 on 11 March 2024."
request_98,9735.59,affordable_later,wait,2025-09-15:27148,2025-09-15,none,"Pay ZAR 27,148 in full on 15 September 2025. Paying earlier would take the balance below the ZAR 30,000 minimum. At most ZAR 9,735.59 is safe to pay today from a balance of ZAR 47,244.70."
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,"Pay ZAR 18,062 today. This leaves at least ZAR 49,100 available over the next 90 days. Balance today is ZAR 86,706.58; the lowest projected balance is ZAR 54,609.21 on 12 July 2026."
request_100,25910.85,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-07-15,none,"Use 3 installments of ZAR 12,866.19, starting 13 June 2024. This leaves at least ZAR 32,500 available. Balance today is ZAR 68,363.53; the lowest projected balance is ZAR 39,142.30 on 14 August 2024."
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,"Pay INR 143,500 today. This leaves at least INR 187,400 available over the next 90 days. Balance today is INR 465,868.50; the lowest projected balance is INR 210,382.84 on 14 November 2025."
request_102,1609.29,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,,stop:event_9456|reduce_to:event_9457:24,"Stop the family streaming plan and reduce the household shopping to EUR 24, then use 3 installments of EUR 594.88, starting 5 April 2026. This leaves at least EUR 900 available. Balance today is EUR 4,643.74; the lowest projected balance is EUR 946.35 on 4 July 2026."
request_103,11947.59,not_affordable,not_recommended,none,,none,"Do not make this payment by 7 October 2024. None of the available options keeps the INR 125,500 minimum protected. Balance today is INR 168,749; even without this payment the lowest projected balance is INR 137,447.60 on 14 September 2024."
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,"Pay ZAR 17,204 today. This leaves at least ZAR 24,700 available over the next 90 days. Balance today is ZAR 64,021.70; the lowest projected balance is ZAR 29,478.14 on 14 February 2025."
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,"Pay INR 53,500 today. This leaves at least INR 73,900 available over the next 90 days. Balance today is INR 147,831.80; the lowest projected balance is INR 79,792.03 on 14 June 2026."
request_106,539.84,affordable_later,wait,2025-01-15:2207.70,2025-01-15,none,"Pay EUR 2,207.70 in full on 15 January 2025. Paying earlier would take the balance below the EUR 1,200 minimum. At most EUR 539.84 is safe to pay today from a balance of EUR 2,601.70."
request_107,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 4 July 2025. None of the available options keeps the EUR 1,600 minimum protected. Balance today is EUR 5,054.52; even without this payment the lowest projected balance is EUR 561.65 on 3 August 2025."
request_108,4947.66,not_affordable,not_recommended,none,2026-09-15,none,"Do not make this payment by 26 July 2026. None of the available options keeps the ZAR 24,100 minimum protected. Balance today is ZAR 31,936.40; even without this payment the lowest projected balance is ZAR 29,047.66 on 9 July 2026."
request_109,714.05,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-04-15,none,"Use 3 installments of EUR 645.98, starting 18 March 2024. This leaves at least EUR 1,700 available. Balance today is EUR 2,976.46; the lowest projected balance is EUR 2,414.05 on 14 March 2024."
request_110,21645.07,affordable_with_plan,installments,2025-08-06:7748.69|2025-09-03:7748.69|2025-10-01:7748.69,,stop:event_10198|reduce_to:event_10199:193.60,"Stop the streaming subscription and reduce the monthly shopping spend to ZAR 193.60, then use 3 installments of ZAR 7,748.69, starting 6 August 2025. This leaves at least ZAR 11,200 available. Balance today is ZAR 61,229.53; the lowest projected balance is ZAR 11,860.19 on 4 November 2025."
request_111,16625000,affordable_now,full_payment,2026-04-03:16625000,2026-04-03,none,"Pay IDR 16,625,000 today. This leaves at least IDR 23,022,800 available over the next 90 days. Balance today is IDR 85,204,860; the lowest projected balance is IDR 29,320,409.82 on 2 July 2026."
request_112,271.70,affordable_now,full_payment,2024-06-05:271.70,2024-06-05,none,"Pay EUR 271.70 today. This leaves at least EUR 500 available over the next 90 days. Balance today is EUR 1,026; the lowest projected balance is EUR 547.55 on 14 June 2024."
request_113,32487.28,affordable_later,wait,2026-09-15:36500,2026-09-15,none,"Pay INR 36,500 in full on 15 September 2026. Paying earlier would take the balance below the INR 82,300 minimum. At most INR 32,487.28 is safe to pay today from a balance of INR 141,890."
request_114,65300,affordable_now,full_payment,2026-01-04:65300,2026-01-04,none,"Pay INR 65,300 today. This leaves at least INR 113,400 available over the next 90 days. Balance today is INR 219,230; the lowest projected balance is INR 122,862.52 on 14 January 2026."
request_115,16371.71,affordable_later,wait,2024-10-15:80500,2024-10-15,none,"Pay INR 80,500 in full on 15 October 2024. Paying earlier would take the balance below the INR 38,800 minimum. At most INR 16,371.71 is safe to pay today from a balance of INR 65,935."
request_116,18101.57,not_affordable,not_recommended,none,,none,"Do not make this payment by 16 April 2025. None of the available options keeps the INR 80,300 minimum protected. Balance today is INR 138,375; even without this payment the lowest projected balance is INR 98,401.57 on 14 February 2025."
request_117,880,affordable_now,full_payment,2026-07-05:880,2026-07-05,none,"Pay EUR 880 today. This leaves at least EUR 1,000 available over the next 90 days. Balance today is EUR 2,164.20; the lowest projected balance is EUR 1,084.01 on 10 July 2026."
request_118,660.98,affordable_with_plan,installments,2024-12-07:255.87|2025-01-07:255.87|2025-02-07:255.87,2024-12-15,none,"Use 3 installments of EUR 255.87, starting 7 December 2024. This leaves at least EUR 600 available. Balance today is EUR 1,538.51; the lowest projected balance is EUR 659.21 on 14 February 2025."
request_119,70146.78,affordable_with_plan,installments,2025-05-18:70546.67|2025-06-15:70546.67|2025-07-13:70546.67,2025-06-15,none,"Use 3 installments of INR 70,546.67, starting 18 May 2025. This leaves at least INR 151,200 available. Balance today is INR 282,101.01; the lowest projected balance is INR 221,346.78 on 14 May 2025."
request_120,7714000,affordable_now,full_payment,2026-04-06:7714000,2026-04-06,none,"Pay IDR 7,714,000 today. This leaves at least IDR 20,050,300 available over the next 90 days. Balance today is IDR 31,748,980; the lowest projected balance is IDR 20,941,660.24 on 14 April 2026."
request_121,633.60,affordable_now,full_payment,2024-03-03:633.60,2024-03-03,none,"Pay USD 633.60 today. This leaves at least USD 800 available over the next 90 days. Balance today is USD 1,741; the lowest projected balance is USD 842.39 on 14 March 2024."
request_122,20558000,affordable_with_plan,installments,2025-08-05:7126773.33|2025-09-02:7126773.33|2025-09-30:7126773.33,2025-08-05,none,"Use 3 installments of IDR 7,126,773.33, starting 5 August 2025. This leaves at least IDR 12,588,500 available. Balance today is IDR 56,827,244.99; the lowest projected balance is IDR 12,777,279.10 on 3 November 2025."
request_123,3623908.78,not_affordable,not_recommended,none,,none,"Do not make this payment by 28 March 2026. None of the available options keeps the IDR 18,091,200 minimum protected. Balance today is IDR 63,706,400; even without this payment the lowest projected balance is IDR 21,715,108.78 on 7 April 2026."
request_124,1498.40,affordable_with_plan,installments,2024-06-11:1076.12|2024-07-12:1076.12|2024-08-12:1076.12,2024-07-15,none,"Use 3 installments of EUR 1,076.12, starting 11 June 2024. This leaves at least EUR 1,600 available. Balance today is EUR 3,709.56; the lowest projected balance is EUR 2,022.28 on 11 June 2024."
request_125,6468,affordable_now,full_payment,2025-11-06:6468,2025-11-06,none,"Pay ZAR 6,468 today. This leaves at least ZAR 11,300 available over the next 90 days. Balance today is ZAR 22,027.97; the lowest projected balance is ZAR 11,789.24 on 14 November 2025."
request_126,42023.18,not_affordable,not_recommended,none,,none,"Do not make this payment by 17 July 2026. None of the available options keeps the INR 129,700 minimum protected. Balance today is INR 403,175; even without this payment the lowest projected balance is INR 171,723.18 on 1 October 2026."
request_127,10990.49,affordable_later,wait,2024-10-15:23980,2024-10-15,none,"Pay ZAR 23,980 in full on 15 October 2024. Paying earlier would take the balance below the ZAR 41,000 minimum. At most ZAR 10,990.49 is safe to pay today from a balance of ZAR 66,058."
request_128,25168,affordable_now,full_payment,2025-02-07:25168,2025-02-07,none,"Pay ZAR 25,168 today. This leaves at least ZAR 42,600 available over the next 90 days. Balance today is ZAR 80,711.70; the lowest projected balance is ZAR 46,674.81 on 13 February 2025."
request_129,107.10,not_affordable,not_recommended,none,,none,"Do not make this payment by 18 June 2026. None of the available options keeps the USD 800 minimum protected. Balance today is USD 1,088; even without this payment the lowest projected balance is USD 907.11 on 14 April 2026."
request_130,474.39,affordable_later,wait,2025-02-15:1978.80,2025-02-15,none,"Pay USD 1,978.80 in full on 15 February 2025. Paying earlier would take the balance below the USD 1,400 minimum. At most USD 474.39 is safe to pay today from a balance of USD 2,317.46."
request_131,0,not_affordable,not_recommended,none,,none,"Do not make this payment by 8 July 2025. None of the available options keeps the USD 1,100 minimum protected. Balance today is USD 3,387.16; even without this payment the lowest projected balance is USD -143.13 on 1 August 2025."
request_132,359.25,affordable_later,wait,2026-01-15:379.86,2026-01-15,none,"Pay USD 379.86 in full on 15 January 2026. Paying earlier would take the balance below the USD 1,100 minimum. At most USD 359.25 is safe to pay today from a balance of USD 1,744.55."
request_133,5432395.72,not_affordable,not_recommended,none,,none,"Do not make this payment by 29 March 2024. None of the available options keeps the IDR 9,986,200 minimum protected. Balance today is IDR 36,824,650; even without this payment the lowest projected balance is IDR 15,418,595.72 on 2 June 2024."
request_134,5951595.84,affordable_later,wait,2025-09-15:21831000,2025-09-15,none,"Pay IDR 21,831,000 in full on 15 September 2025. Paying earlier would take the balance below the IDR 15,902,500 minimum. At most IDR 5,951,595.84 is safe to pay today from a balance of IDR 28,020,700."
